type,count,mean,std,min,25%,50%,75%,max
Movie,6128.0,99.57718668407311,28.290593447417397,3.0,87.0,98.0,114.0,312.0
TV Show,2676.0,1.764947683109118,1.5827519028726411,1.0,1.0,1.0,2.0,17.0
